id,name,current_ticker,current_exchange,status,monitoring,archived,news_search_override,name_hint,exact_company_name,ticker,exchange,country,confidence,gemini_notes,google_finance_ticker,market_cap
seed-f1a9bf75117e0483-line-17,Berner,,,inbox,auto,false,,,,Christian Berner Tech Trade AB,CBTT-B,Nasdaq Stockholm,SE,medium,,STO:CBTT-B,$52.9M
seed-f1a9bf75117e0483-line-397,Betamek Bhd,,,watchlist,auto,false,,Betamek Bhd (8/24/2026),Betamek Berhad,0263,KLSE,MY,high,,KLSE:0263,$49.4M
seed-f1a9bf75117e0483-line-1499,Bidvest Group SA,,,pass,auto,false,,,,The Bidvest Group Limited,BVT,JSE,ZA,high,,JSE:BVT,$5.47B
seed-f1a9bf75117e0483-line-668,Bigben Gaming,,,watchlist,auto,false,,,,Bigben Interactive SA,BIG,Euronext Paris,FR,high,,EPA:BIG,$61.5M
seed-f1a9bf75117e0483-line-1497,BK Technologies Corp,,,pass,auto,false,,,,BK Technologies Corporation,BKTI,NYSE American,US,high,,NYSEAMERICAN:BKTI,$114.2M
seed-f1a9bf75117e0483-line-569,BLU (SA),,,watchlist,auto,false,,,,Blue Label Telecoms Limited,BLU,JSE,ZA,high,,JSE:BLU,$232.2M
seed-f1a9bf75117e0483-line-1606,BSA,,,pass,paused,false,,,,BSA Limited,BSA,ASX,AU,high,,ASX:BSA,$30.0M
seed-f1a9bf75117e0483-line-31,Builders firstsource,,,inbox,auto,false,,,,Builders FirstSource, Inc.,BLDR,NYSE,US,high,,NYSE:BLDR,$19.45B
seed-f1a9bf75117e0483-line-1507,Catana Group SA (french),,,pass,auto,false,,,,Catana Group SA,CATG,Euronext Paris,FR,high,,EPA:CATG,$148.5M
seed-f1a9bf75117e0483-line-630,CCC Intelligent Solutions,,,watchlist,auto,false,,,,CCC Intelligent Solutions Holdings Inc.,CCCS,NASDAQ,US,high,,NASDAQ:CCCS,$7.18B
seed-f1a9bf75117e0483-line-398,Central Automotive Products,,,watchlist,auto,false,,Central Automotive Products (8/24/2026),Central Automotive Products Ltd.,8117,TYO,JP,high,,TYO:8117,$552.0M
seed-f1a9bf75117e0483-line-575,Chemed,,,watchlist,auto,false,,,,Chemed Corporation,CHE,NYSE,US,high,,NYSE:CHE,$8.14B
seed-f1a9bf75117e0483-line-268,Churchill Downs (CHDN),,,perpetual,auto,false,,Churchill Downs (CHDN) (6/10/2025),Churchill Downs Incorporated,CHDN,NASDAQ,US,high,,NASDAQ:CHDN,$15.18B
seed-f1a9bf75117e0483-line-1667,Claranova,,,pass,auto,false,,,,Claranova SE,CLA,Euronext Paris,FR,high,,EPA:CLA,$132.4M
seed-f1a9bf75117e0483-line-673,Cogent Communications,,,watchlist,auto,false,,,,Cogent Communications Holdings, Inc.,CCOI,NASDAQ,US,high,,NASDAQ:CCOI,$3.82B
seed-f1a9bf75117e0483-line-541,Conrad Industries,,,watchlist,auto,false,,,,Conrad Industries, Inc.,CNRD,OTCMKTS,US,high,,OTCMKTS:CNRD,$76.4M
seed-f1a9bf75117e0483-line-1675,Cooper Standard,,,pass,auto,false,,,,Cooper-Standard Holdings Inc.,CPS,NYSE,US,high,,NYSE:CPS,$318.5M
seed-f1a9bf75117e0483-line-912,Cosco,,,pass,auto,false,,Cosco (7/20/2026),COSCO SHIPPING Holdings Co., Ltd.,1919,HKG,HK,high,,HKG:1919,$23.44B
seed-f1a9bf75117e0483-line-571,Cosco (philippines),,,watchlist,auto,false,,,,Cosco Capital, Inc.,COSCO,PSE,PH,high,,PSE:COSCO,$626.8M
seed-f1a9bf75117e0483-line-1466,Crimson Wine Group,,,pass,auto,false,,,,Crimson Wine Group, Ltd.,CWGL,OTCMKTS,US,high,,OTCMKTS:CWGL,$114.8M
seed-f1a9bf75117e0483-line-1121,Dadelo,,,pass,auto,false,,,,Dadelo S.A.,DAD,WSE,PL,high,,WSE:DAD,$42.7M
seed-f1a9bf75117e0483-line-1163,Dbox Technologies,,,pass,auto,false,,,,D-BOX Technologies Inc.,DBO,TSX-V,CA,high,,CVE:DBO,$20.7M
a8c524fb-283d-4c97-9b22-4d7239cb4247,Deckers Outdoor,DECK,,perpetual,auto,false,,Deckers,Deckers Outdoor Corporation,DECK,NYSE,US,high,,NYSE:DECK,$26.12B
seed-f1a9bf75117e0483-line-1215,Dedicare (sweden),,,pass,auto,false,,,,Dedicare AB,DEDI,Nasdaq Stockholm,SE,high,,STO:DEDI,$51.4M
seed-f1a9bf75117e0483-line-399,Delek Automotive,,,watchlist,auto,false,,Delek Automotive (8/24/2026),Delek Automotive Systems Ltd.,DLEKG,TASE,IL,high,,TLV:DLEKG,$573.0M
seed-f1a9bf75117e0483-line-1512,Delfingen SA,,,pass,auto,false,,Delfingen SA (research),Delfingen Industry SA,ALDEL,Euronext Growth Paris,FR,high,,EPA:ALDEL,$77.7M
seed-f1a9bf75117e0483-line-1616,DFV,,,pass,paused,false,,,,DFV Deutsche Familienversicherung AG,DFV,XETRA,DE,high,,FRA:DFV,$66.7M
seed-f1a9bf75117e0483-line-469,Directa SIM Spa,,,watchlist,auto,false,,,,Directa SIM S.p.A.,DINT,Borsa Italiana,IT,high,,BIT:DINT,$83.4M
seed-f1a9bf75117e0483-line-412,DNOW,,,watchlist,paused,false,,,,DNOW Inc.,DNOW,NYSE,US,high,,NYSE:DNOW,$1.52B
seed-f1a9bf75117e0483-line-574,Dolby Laboratories,,,watchlist,auto,false,,,,Dolby Laboratories, Inc.,DLB,NYSE,US,high,,NYSE:DLB,$7.39B
seed-f1a9bf75117e0483-line-1153,Dominos Dash PLC (Dominos China),,,pass,auto,false,,,,DPC Dash Ltd,1405,HKG,HK,high,,HKG:1405,$1.06B
seed-f1a9bf75117e0483-line-573,Eagle Materials,,,watchlist,auto,false,,,,Eagle Materials Inc.,EXP,NYSE,US,high,,NYSE:EXP,$9.81B
seed-f1a9bf75117e0483-line-582,ECM,,,watchlist,paused,false,,,,ECM Libra Group Berhad,ECML,KLSE,MY,medium,,KLSE:ECML,$25.2M
seed-f1a9bf75117e0483-line-701,EdiliziAcrobatica,,,watchlist,auto,false,,,,EdiliziAcrobatica S.p.A.,EDAC,Borsa Italiana,IT,high,,BIT:EDAC,$78.5M
seed-f1a9bf75117e0483-line-663,Elis,,,watchlist,auto,false,,,,Elis SA,ELIS,Euronext Paris,FR,high,,EPA:ELIS,$5.58B
seed-f1a9bf75117e0483-line-744,Environmental Group,,,watchlist,auto,false,,,,The Environmental Group Limited,EGL,ASX,AU,high,,ASX:EGL,$68.5M
seed-f1a9bf75117e0483-line-1573,Eolus (sweden),,,pass,auto,false,,,,Eolus Vind AB,EOLU-B,Nasdaq Stockholm,SE,high,,STO:EOLU-B,$158.8M
seed-f1a9bf75117e0483-line-1036,Eurosnack SA,,,pass,auto,false,,,,Eurosnack S.A.,ERS,WSE,PL,medium,,WSE:ERS,$3.95M
seed-f1a9bf75117e0483-line-1313,EverQuote,,,pass,auto,false,,EverQuote (8/19/2026),EverQuote, Inc.,EVER,NASDAQ,US,high,,NASDAQ:EVER,$684.2M
seed-f1a9bf75117e0483-line-1233,Evolution AB,,,pass,auto,false,,,,Evolution AB (publ),EVO,Nasdaq Stockholm,SE,high,,STO:EVO,$20.85B
seed-f1a9bf75117e0483-line-1073,Fable Media Group,,,pass,auto,false,,,,Fable Media Group AB,FABLE,Nasdaq Stockholm,SE,high,,STO:FABLE,$34.5M
seed-f1a9bf75117e0483-line-1209,Fasadgruppen,,,pass,auto,false,,,,Fasadgruppen Group AB,FG,Nasdaq Stockholm,SE,high,,STO:FG,$243.0M
seed-f1a9bf75117e0483-line-1642,FBD,,,pass,paused,false,,,,FBD Holdings plc,FBD,Euronext Dublin,IE,high,,ISE:FBD,$558.5M
seed-f1a9bf75117e0483-line-661,Ferrovial,,,watchlist,auto,false,,,,Ferrovial SE,FER,BME,ES,high,,BME:FER,$30.67B
seed-f1a9bf75117e0483-line-348,FICO,,,watchlist,paused,false,,,,Fair Isaac Corporation,FICO,NYSE,US,high,,NYSE:FICO,$48.21B
seed-f1a9bf75117e0483-line-1633,Fidelity Bank PLC (Nigeria),,,pass,auto,false,,,,Fidelity Bank Plc,FIDELITYBK,NGX,NG,high,,NGX:FIDELITYBK,$273.9M
seed-f1a9bf75117e0483-line-729,First Acceptance Corp,,,watchlist,auto,false,,,,First Acceptance Corporation,FACO,OTCMKTS,US,high,,OTCMKTS:FACO,$86.5M
seed-f1a9bf75117e0483-line-960,FND,,,pass,paused,false,,FND (6/23/2026),Floor & Decor Holdings, Inc.,FND,NYSE,US,high,,NYSE:FND,$11.24B
seed-f1a9bf75117e0483-line-430,Focus Point,,,watchlist,auto,false,,,,Focus Point Holdings Berhad,0157,KLSE,MY,high,,KLSE:0157,$79.6M
seed-f1a9bf75117e0483-line-1133,Focusrite,,,pass,auto,false,,,,Focusrite plc,TUNE,LSE,GB,high,,LON:TUNE,$211.6M
seed-f1a9bf75117e0483-line-1514,Fountaine Pajor SA (french),,,pass,auto,false,,,,Fountaine Pajot S.A.,ALFPC,Euronext Growth Paris,FR,high,,EPA:ALFPC,$214.1M
seed-f1a9bf75117e0483-line-736,Foxtons,,,watchlist,auto,false,,,,Foxtons Group plc,FOXT,LSE,GB,high,,LON:FOXT,$253.8M
seed-f1a9bf75117e0483-line-514,FPT Digital Retail JSC,,,watchlist,auto,false,,,,FPT Digital Retail Joint Stock Company,FRT,HOSE,VN,high,,HOSE:FRT,$908.9M
seed-f1a9bf75117e0483-line-664,Fraport,,,watchlist,auto,false,,,,Fraport AG Frankfurt Airport Services Worldwide,FRA,XETRA,DE,high,,FRA:FRA,$5.25B
seed-f1a9bf75117e0483-line-680,Full Truck Alliance Co ltd,,,watchlist,auto,false,,,,Full Truck Alliance Co. Ltd.,YMM,NYSE,US,high,,NYSE:YMM,$8.52B
seed-f1a9bf75117e0483-line-173,Galaxy Gaming,,,perpetual,auto,false,,,,Galaxy Gaming, Inc.,GLXZ,OTCMKTS,US,high,,OTCMKTS:GLXZ,$81.4M
seed-f1a9bf75117e0483-line-585,Gambling.com,,,watchlist,auto,false,,[Gambling.com](,Gambling.com Group Limited,GAMB,NASDAQ,US,high,,NASDAQ:GAMB,$352.0M
seed-f1a9bf75117e0483-line-743,Gear4Music,,,watchlist,auto,false,,,,Gear4music (Holdings) plc,G4M,LSE,GB,high,,LON:G4M,$46.3M
seed-f1a9bf75117e0483-line-188,Gentex,,,perpetual,auto,false,,,,Gentex Corporation,GNTX,NASDAQ,US,high,,NASDAQ:GNTX,$7.12B
seed-f1a9bf75117e0483-line-621,GIMAT,,,watchlist,paused,false,,,,Gimat Magazacilik Sanayi ve Ticaret A.S.,GMTAS,BIST,TR,high,,IST:GMTAS,$227.5M
seed-f1a9bf75117e0483-line-700,Global Yatirim,,,watchlist,auto,false,,,,Global Yatirim Holding A.S.,GLYHO,BIST,TR,high,,IST:GLYHO,$244.0M
seed-f1a9bf75117e0483-line-1256,GPGI,,,pass,paused,false,,,,Green Planet Group, Inc.,GNPT,OTCMKTS,US,medium,,OTCMKTS:GNPT,$12.4M
seed-f1a9bf75117e0483-line-336,Greenfirst Forest Products (GFP),,,watchlist,auto,false,,,,GreenFirst Forest Products Inc.,GFP,TSX,CA,high,,TSE:GFP,$106.7M
seed-f1a9bf75117e0483-line-699,Grupa Niewiadów PGM SA,,,watchlist,auto,false,,,,Grupa PGM S.A.,PGM,WSE,PL,high,,WSE:PGM,$11.9M
seed-f1a9bf75117e0483-line-1451,Grupo Traxion,,,pass,auto,false,,,,Grupo Traxion, S.A.B. de C.V.,TRAXIONA,BMV,MX,high,,BMV:TRAXIONA,$848.2M
seed-f1a9bf75117e0483-line-652,Halyk Bank,,,watchlist,auto,false,,,,Halyk Savings Bank of Kazakhstan JSC,HSBK,LSE,KZ,high,,LON:HSBK,$4.82B
seed-f1a9bf75117e0483-line-463,Harbour Link,,,watchlist,auto,false,,,,Harbour-Link Group Berhad,8451,KLSE,MY,high,,KLSE:8451,$119.1M
seed-f1a9bf75117e0483-line-568,HCI (SA),,,watchlist,auto,false,,,,Hosken Consolidated Investments Limited,HCI,JSE,ZA,high,,JSE:HCI,$751.1M
seed-f1a9bf75117e0483-line-387,Helia Group Ltd,,,watchlist,auto,false,,,,Helia Group Limited,HLI,ASX,AU,high,,ASX:HLI,$728.0M
seed-f1a9bf75117e0483-line-1192,Hellworld Travel LTD,,,pass,auto,false,,,,Helloworld Travel Limited,HLO,ASX,AU,high,,ASX:HLO,$235.6M
seed-f1a9bf75117e0483-line-953,Hikari Tsushin,,,pass,auto,false,,Hikari Tsushin (7/1/2026),Hikari Tsushin, Inc.,9435,TYO,JP,high,,TYO:9435,$9.05B
seed-f1a9bf75117e0483-line-401,Holley,,,watchlist,auto,false,,Holley (research) (8/24/2026),Holley Inc.,HLLY,NYSE,US,high,,NYSE:HLLY,$342.0M
seed-f1a9bf75117e0483-line-619,HYNE,,,watchlist,paused,false,,,,Hyne Timber Group,HYNE,Unlisted,AU,medium,,Unlisted,$250.0M
seed-f1a9bf75117e0483-line-402,IDOM,,,watchlist,paused,false,,IDOM (research) (8/24/2026),IDOM Inc.,7599,TYO,JP,high,,TYO:7599,$773.2M
seed-f1a9bf75117e0483-line-367,Incar Financial Service,,,watchlist,auto,false,,,,InCar Financial Service Co., Ltd.,214450,KOSDAQ,KR,high,,KOSDAQ:214450,$234.6M
seed-f1a9bf75117e0483-line-41,Ingenta,,,inbox,auto,false,,Ingenta *Uk screen,Ingenta plc,INGO,LSE,GB,high,,LON:INGO,$23.7M
seed-f1a9bf75117e0483-line-1647,Innovex,,,pass,auto,false,,,,Innovex Downhole Solutions, Inc.,INVX,NYSE,US,high,,NYSE:INVX,$1.14B
seed-f1a9bf75117e0483-line-1635,Invicta Holdings,,,pass,auto,false,,,,Invicta Holdings Limited,IVT,JSE,ZA,high,,JSE:IVT,$201.1M
seed-f1a9bf75117e0483-line-235,IOCO,,,perpetual,paused,false,,,,EOH Holdings Limited (ioco),EOH,JSE,ZA,medium,,JSE:EOH,$62.2M
seed-f1a9bf75117e0483-line-1289,Ito En,,,pass,auto,false,,,,Ito En, Ltd.,2593,TYO,JP,high,,TYO:2593,$2.29B
seed-f1a9bf75117e0483-line-118,JDC,,,perpetual,paused,false,,,,JDC Corporation,1887,TYO,JP,high,,TYO:1887,$438.2M
seed-f1a9bf75117e0483-line-194,Jet2 Plc,,,perpetual,auto,false,,,,Jet2 plc,JET2,LSE,GB,high,,LON:JET2,$4.06B
seed-f1a9bf75117e0483-line-1237,Joe USA,,,pass,auto,false,,,,The St. Joe Company,JOE,NYSE,US,high,,NYSE:JOE,$3.24B
seed-f1a9bf75117e0483-line-1442,Jollibee (JFC),,,pass,auto,false,,,,Jollibee Foods Corporation,JFC,PSE,PH,high,,PSE:JFC,$5.21B
seed-f1a9bf75117e0483-line-27,Jumbo Interactive,,,inbox,auto,false,,,,Jumbo Interactive Limited,JIN,ASX,AU,high,,ASX:JIN,$547.4M
seed-f1a9bf75117e0483-line-404,K Car,,,watchlist,auto,false,,K Car (research) (8/24/2026),K Car Co., Ltd.,381970,KRX,KR,high,,KRX:381970,$407.5M
seed-f1a9bf75117e0483-line-685,KAL Group,,,watchlist,auto,false,,,,KAL Group Limited,KAL,JSE,ZA,high,,JSE:KAL,$184.4M
seed-f1a9bf75117e0483-line-1005,Karelia,,,pass,auto,false,,,,Karelia Tobacco Company Inc.,KARE,ATHEX,GR,high,,ATHEX:KARE,$1.07B
seed-f1a9bf75117e0483-line-1486,Karooooo,,,pass,auto,false,,,,Karooooo Ltd.,KARO,NASDAQ,US,high,,NASDAQ:KARO,$1.24B
seed-f1a9bf75117e0483-line-720,Kaspi,,,watchlist,auto,false,,,,Kaspi.kz Joint Stock Company,KSPI,NASDAQ,KZ,high,,NASDAQ:KSPI,$21.40B
seed-f1a9bf75117e0483-line-567,Keeper,,,watchlist,paused,false,,,,KeePer Technical Laboratory Co., Ltd.,6036,TYO,JP,high,,TYO:6036,$704.8M
seed-f1a9bf75117e0483-line-913,Keepers,,,pass,auto,false,,Keepers currently trading for 7x earnings,KeePer Technical Laboratory Co., Ltd.,6036,TYO,JP,high,,TYO:6036,$704.8M
seed-f1a9bf75117e0483-line-665,Kempegowda,,,watchlist,auto,false,,,,Fairfax India Holdings Corp (Kempegowda Airport),FIH.U,TSX,CA,high,,TSE:FIH.U,$1.82B
seed-f1a9bf75117e0483-line-314,Kingstone,,,perpetual,auto,false,,Kingstone (add writeup),Kingstone Companies, Inc.,KINS,NASDAQ,US,high,,NASDAQ:KINS,$85.4M
seed-f1a9bf75117e0483-line-93,Kingsway,,,perpetual,auto,false,,,,Kingsway Financial Services Inc.,KFS,NYSE,US,high,,NYSE:KFS,$252.0M
seed-f1a9bf75117e0483-line-279,Kinsale,,,perpetual,auto,false,,,,Kinsale Capital Group, Inc.,KNSL,NYSE,US,high,,NYSE:KNSL,$10.82B
seed-f1a9bf75117e0483-line-899,Kits Eyecare,,,pass,auto,false,,,,KITS Eyecare Ltd.,KITS,TSX,CA,high,,TSE:KITS,$142.6M
seed-f1a9bf75117e0483-line-657,Kolejkowo,,,watchlist,auto,false,,,,Kolejkowo S.A.,KLK,NewConnect,PL,medium,,WSE:KLK,$8.32M
seed-f1a9bf75117e0483-line-1491,Kopparbergs Bryggeri,,,pass,auto,false,,,,Kopparbergs Bryggeri AB,KOPP-B,NGM,SE,high,,NGM:KOPP-B,$188.2M
seed-f1a9bf75117e0483-line-758,Kromek,,,watchlist,auto,false,,,,Kromek Group plc,KMK,LSE,GB,high,,LON:KMK,$58.8M
seed-f1a9bf75117e0483-line-602,Kukbo,,,watchlist,auto,false,,,,Kukbo Co., Ltd.,001480,KRX,KR,high,,KRX:001480,$26.6M
seed-f1a9bf75117e0483-line-473,Lennar Corp,,,watchlist,auto,false,,,,Lennar Corporation,LEN,NYSE,US,high,,NYSE:LEN,$43.12B
seed-f1a9bf75117e0483-line-1156,Lewis (furniture store in Africa) (220 million USd market cap),,,pass,auto,false,,,,Lewis Group Limited,LEW,JSE,ZA,high,,JSE:LEW,$218.9M
seed-f1a9bf75117e0483-line-77,Libra Insurance,,,perpetual,auto,false,,,,Libra Group,LIBRA,Unlisted,US,medium,,Unlisted,$450.0M
seed-f1a9bf75117e0483-line-475,Light and Wonder,,,watchlist,auto,false,,,,Light & Wonder, Inc.,LNW,NASDAQ,US,high,,NASDAQ:LNW,$8.92B
seed-f1a9bf75117e0483-line-360,Limbach Holdings,,,watchlist,auto,false,,,,Limbach Holdings, Inc.,LMB,NASDAQ,US,high,,NASDAQ:LMB,$1.12B
seed-f1a9bf75117e0483-line-1080,Lindsay Holdings,,,pass,auto,false,,,,Lindsay Corporation,LNN,NYSE,US,high,,NYSE:LNN,$1.34B
seed-f1a9bf75117e0483-line-932,Linea Directa,,,pass,auto,false,,,,Linea Directa Aseguradora, S.A.,LDA,BME,ES,high,,BME:LDA,$1.36B
seed-f1a9bf75117e0483-line-629,Lyondell Basell,,,watchlist,auto,false,,,,LyondellBasell Industries N.V.,LYB,NYSE,US,high,,NYSE:LYB,$27.14B
seed-f1a9bf75117e0483-line-40,Manolete Partners,,,inbox,auto,false,,Manolete Partners  Uk screen,Manolete Partners Plc,MANO,LSE,GB,high,,LON:MANO,$91.5M
seed-f1a9bf75117e0483-line-1527,Marlowe,,,pass,auto,false,,Marlowe 1.7x,Marlowe plc,MRL,LSE,GB,high,,LON:MRL,$496.6M
seed-f1a9bf75117e0483-line-352,Mekonomen,,,watchlist,auto,false,,,,MEKO AB,MEKO,Nasdaq Stockholm,SE,high,,STO:MEKO,$611.5M
seed-f1a9bf75117e0483-line-255,Metair Investments,,,perpetual,auto,false,,Metair Investments ([,Metair Investments Limited,MTA,JSE,ZA,high,,JSE:MTA,$163.3M
seed-f1a9bf75117e0483-line-636,Metro Bank,,,watchlist,auto,false,,,,Metro Bank Holdings PLC,MTRO,LSE,GB,high,,LON:MTRO,$379.6M
seed-f1a9bf75117e0483-line-676,MGI Digital Tech (french),,,watchlist,auto,false,,,,MGI Digital Technology SA,ALMDG,Euronext Growth Paris,FR,high,,EPA:ALMDG,$231.1M
seed-f1a9bf75117e0483-line-30,Michael Hill International,,,pass,auto,false,,,,Michael Hill International Limited,MHJ,ASX,AU,high,,ASX:MHJ,$125.1M
seed-f1a9bf75117e0483-line-633,Mineral Resources Limited,,,watchlist,auto,false,,,,Mineral Resources Limited,MIN,ASX,AU,high,,ASX:MIN,$4.45B
seed-f1a9bf75117e0483-line-64,Molina Healthcare,,,perpetual,auto,false,,,,Molina Healthcare, Inc.,MOH,NYSE,US,high,,NYSE:MOH,$17.48B
seed-f1a9bf75117e0483-line-580,Monarch Cement,,,watchlist,auto,false,,,,The Monarch Cement Company,MCEM,OTCMKTS,US,high,,OTCMKTS:MCEM,$682.0M
seed-f1a9bf75117e0483-line-406,Motorcycle holdings,,,watchlist,auto,false,,Motorcycle holdings (research) (8/24/2026),MotorCycle Holdings Limited,MTO,ASX,AU,high,,ASX:MTO,$75.3M
seed-f1a9bf75117e0483-line-355,MTN Ghana,,,watchlist,auto,false,,,,Scancom PLC (MTN Ghana),MTNGH,GSE,GH,high,,GSE:MTNGH,$2.07B
seed-f1a9bf75117e0483-line-1423,Murree Brewery,,,pass,auto,false,,,,Murree Brewery Company Limited,MUREB,PSX,PK,high,,PSX:MUREB,$52.2M
seed-f1a9bf75117e0483-line-576,Natural Resource Partners,,,watchlist,auto,false,,,,Natural Resource Partners L.P.,NRP,NYSE,US,high,,NYSE:NRP,$1.32B
seed-f1a9bf75117e0483-line-1001,Nature Springer,,,pass,auto,false,,,,Springer Nature AG & Co. KGaA,SPG,FRA,DE,high,,FRA:SPG,$4.93B
seed-f1a9bf75117e0483-line-733,NCR Atleos,,,watchlist,auto,false,,,,NCR Atleos Corporation,NATL,NYSE,US,high,,NYSE:NATL,$2.24B
seed-f1a9bf75117e0483-line-1651,NEM Insurance Co,,,pass,auto,false,,NEM Insurance Co (8/13/2025),NEM Insurance Plc,NEM,NGX,NG,high,,NGX:NEM,$29.2M
seed-f1a9bf75117e0483-line-25,Netflix,,,pass,auto,false,,,,Netflix, Inc.,NFLX,NASDAQ,US,high,,NASDAQ:NFLX,$305.40B
seed-f1a9bf75117e0483-line-625,Netfonds,,,watchlist,auto,false,,,,Netfonds AG,NF4,FRA,DE,high,,FRA:NF4,$143.9M
seed-f1a9bf75117e0483-line-703,New Princes SPA,,,watchlist,auto,false,,,,New Princes Group S.p.A. (Newlat),NWL,Borsa Italiana,IT,high,,BIT:NWL,$636.6M
seed-f1a9bf75117e0483-line-1517,Nexxen,,,pass,auto,false,,,,Nexxen International Ltd.,NEXN,NASDAQ,US,high,,NASDAQ:NEXN,$492.0M
